years,rank,logo,country,brand,sales
2016-03,25,https://i.img16888.com/carlogo75/126388.gif,中国,东风风行,25032
2016-03,26,https://i.img16888.com/carlogo75/58044.gif,法国,雪铁龙,24583
2016-03,27,https://i.img16888.com/carlogo75/57248.gif,德国,宝马,24324
2016-03,28,https://i.img16888.com/carlogo75/57279.gif,德国,奔驰,23837
2016-03,29,https://i.img16888.com/carlogo75/58074.gif,中国,中华,21303
2016-03,30,https://i.img16888.com/carlogo75/126546.gif,中国,北汽幻速,20591
2016-03,31,https://i.img16888.com/carlogo75/126169.gif,中国,北京汽车,19825
2016-03,32,https://i.img16888.com/carlogo75/57571.gif,中国,海马,16870
2016-03,33,https://i.img16888.com/carlogo75/126179.gif,中国,北汽威旺,16681
2016-03,34,https://i.img16888.com/carlogo75/57636.gif,中国,金杯,15978
2016-03,35,https://i.img16888.com/carlogo75/57733.gif,日本,铃木,14286
2016-03,36,https://i.img16888.com/carlogo75/57891.gif,中国,荣威,12928
2016-03,37,https://i.img16888.com/carlogo75/57301.gif,中国,奔腾,11447
2016-03,38,https://i.img16888.com/carlogo75/57474.gif,中国,东风风神,9995
2016-03,39,https://i.img16888.com/carlogo75/126073.gif,中国,启辰,9650
2016-03,40,https://i.img16888.com/carlogo75/57612.gif,美国,Jeep,9007
2016-03,41,https://i.img16888.com/carlogo75/57477.gif,中国,东南,8775
2016-03,42,https://i.img16888.com/carlogo75/57396.gif,中国,猎豹汽车,8060
2016-03,43,https://i.img16888.com/carlogo75/57594.gif,中国,华泰,6796
2016-03,44,https://i.img16888.com/carlogo75/126335.gif,中国,东风小康,6472
2016-03,45,https://i.img16888.com/carlogo75/57765.gif,中国,名爵,6077
2016-03,46,https://i.img16888.com/carlogo75/57651.gif,美国,凯迪拉克,5716
2016-03,47,https://i.img16888.com/carlogo75/57710.gif,中国,力帆汽车,5705
2016-03,48,https://i.img16888.com/carlogo75/57384.gif,中国,长城,4731
2016-03,49,https://i.img16888.com/carlogo75/57375.gif,中国,北汽昌河,4006
2016-03,50,https://i.img16888.com/carlogo75/58064.gif,中国,一汽,3752
2016-03,51,https://i.img16888.com/carlogo75/126518.gif,中国,中国重汽,3436
2016-03,52,https://i.img16888.com/carlogo75/125802.gif,中国,纳智捷,3146
2016-03,53,https://i.img16888.com/carlogo75/57404.gif,中国,野马汽车,2761
2016-03,54,https://i.img16888.com/carlogo75/57909.gif,日本,三菱,2610
2016-03,55,https://i.img16888.com/carlogo75/126157.gif,中国,观致,2503
2016-03,56,https://i.img16888.com/carlogo75/58067.gif,日本,英菲尼迪,2217
2016-03,57,https://i.img16888.com/carlogo75/126778.gif,中国,凯翼,2001
2016-03,58,https://i.img16888.com/carlogo75/57552.gif,中国,福田,1849
2016-03,59,https://i.img16888.com/carlogo75/57490.gif,意大利,菲亚特,1743
2016-03,60,https://i.img16888.com/carlogo75/126162.gif,中国,上汽大通MAXUS,1447
2016-03,61,https://i.img16888.com/carlogo75/126042.gif,法国,DS,1355
2016-03,62,https://i.img16888.com/carlogo75/124944.gif,中国,江铃,1291
2016-03,63,https://i.img16888.com/carlogo75/126500.gif,中国,东风风度,918
2016-03,64,https://i.img16888.com/carlogo75/126528.gif,中国,福汽启腾,745
2016-03,65,https://i.img16888.com/carlogo75/126759.gif,中国,华颂,705
2016-03,66,https://i.img16888.com/carlogo75/57645.gif,中国,开瑞,512
2016-03,67,https://i.img16888.com/carlogo75/57584.gif,中国,红旗,422
2016-03,68,https://i.img16888.com/carlogo75/126360.gif,中国,腾势,203
2016-03,69,https://i.img16888.com/carlogo75/57487.gif,中国,永源,201
2016-03,70,https://i.img16888.com/carlogo75/57970.gif,中国,威麟,196
2016-03,71,https://i.img16888.com/carlogo75/124659.gif,中国,理念,150
2016-03,72,https://i.img16888.com/carlogo75/126283.gif,中国,北汽制造,114
2016-03,73,https://i.img16888.com/carlogo75/57272.gif,中国,北京,88
2016-03,74,https://i.img16888.com/carlogo75/126663.gif,日本,五十铃,77
2016-03,75,https://i.img16888.com/carlogo75/57601.gif,中国,广汽吉奥,39
2016-04,1,https://i.img16888.com/carlogo75/57411.gif,德国,大众,223961
2016-04,2,https://i.img16888.com/carlogo75/125976.gif,中国,五菱汽车,104926
2016-04,3,https://i.img16888.com/carlogo75/58001.gif,韩国,现代,102848
2016-04,4,https://i.img16888.com/carlogo75/57305.gif,日本,本田,93958
2016-04,5,https://i.img16888.com/carlogo75/57500.gif,日本,丰田,88414
2016-04,6,https://i.img16888.com/carlogo75/57354.gif,美国,别克,87950
2016-04,7,https://i.img16888.com/carlogo75/57534.gif,美国,福特,74743
2016-04,8,https://i.img16888.com/carlogo75/57864.gif,日本,日产,73731
2016-04,9,https://i.img16888.com/carlogo75/126026.gif,中国,哈弗,67021
2016-04,10,https://i.img16888.com/carlogo75/57378.gif,中国,长安,50278
2016-04,11,https://i.img16888.com/carlogo75/57838.gif,韩国,起亚,50131
2016-04,12,https://i.img16888.com/carlogo75/57229.gif,德国,奥迪,47440
2016-04,13,https://i.img16888.com/carlogo75/57604.gif,中国,吉利汽车,44867
2016-04,14,https://i.img16888.com/carlogo75/125808.gif,中国,宝骏,42915
2016-04,15,https://i.img16888.com/carlogo75/126292.gif,中国,长安欧尚,35579
2016-04,16,https://i.img16888.com/carlogo75/57328.gif,中国,比亚迪,34931
2016-04,17,https://i.img16888.com/carlogo75/58024.gif,美国,雪佛兰,31641
2016-04,18,https://i.img16888.com/carlogo75/58085.gif,中国,众泰,30231
